,MVO,Decision Tree,Decision Tree (tuned),Random Forest,Random Forest (tuned),Gradient boosting,Gradient boosting (tuned)
2015-01-05,-0.0016548103681591833,-0.009079960779335112,-0.010039521461278601,-0.009619667697045142,-0.009656871173556694,-0.009876926863585815,-0.009647452741509736
2015-01-06,6.664120868286254e-05,-0.005674144180136379,-0.005676418630749185,-0.005755577167439947,-0.005325924961733944,-0.005418733372219709,-0.005353300306481662
2015-01-07,0.0021937809971717412,0.004746291074045108,0.006954886209695853,0.005487071964656225,0.006941410948619872,0.007234301197677829,0.006729474541819008
2015-01-08,0.0022617385060971877,0.006844148560799077,0.008214200246399371,0.007453279439027889,0.007948462180557373,0.007930450225787145,0.007844684832407349
2015-01-09,0.0003120130552409766,-0.002886359269039422,-0.0032345727152967847,-0.003017434134502042,-0.0030084868186084687,-0.002855840571669809,-0.0029766030941163375
2015-01-12,-0.0007552849840041488,-0.0029587174126351114,-0.0033949264954504605,-0.0029953679884402824,-0.003389791488081733,-0.0034018031716493797,-0.0032651418115316497
2015-01-13,-0.00026067517759600955,0.0003850362591395278,0.0010127447562214556,0.0005798884919988819,0.0010295167229961233,0.0012014877246144635,0.0010114961024461076
2015-01-14,0.0008105007616677854,-0.0011722276228774112,-0.0011364645441503804,-0.0012826105720970637,-0.0010939171893560803,-0.0005290136804733927,-0.001075663476784315
2015-01-15,0.0016789082914634142,-0.0037838169645808195,-0.0023784353925664845,-0.003088778410613203,-0.0022081217307406945,-0.0017066652693990966,-0.002159277644071193
2015-01-16,-0.00046237214405815035,0.004415507282643503,0.005370255873180615,0.0048554213592946205,0.0050392954006552235,0.004829869398762319,0.004999027815229772
2015-01-20,0.0015840621358271978,-0.00177565057488276,-0.0008604071178226432,-0.001243471742415864,-0.0008955509284929602,-0.0006024339022492473,-0.00082847380689171
2015-01-21,-0.0005084790315192794,0.0031562431547256953,0.003963982737991469,0.0034552279602500834,0.004268582071104888,0.003804137006763668,0.004089463323231618
2015-01-22,0.0025798244224713566,0.004072296304788715,0.005534080561692196,0.004413259703304072,0.005350815811910484,0.004664407482893683,0.005100184608673121
2015-01-23,0.0010571468506681671,-0.0023392475036058008,-0.001911638581376002,-0.0023426755931606584,-0.0019998938299728847,-0.0011858768671958687,-0.0019802867311346827
2015-01-26,0.0004607726040041789,0.0024977792689537806,0.0025557284251381917,0.00270847788103948,0.0021357229070519106,0.001890390642047913,0.0022724226826851593
2015-01-27,-0.00269445413532873,-0.0002516991654844779,-0.0011493507120592691,-0.0005896828886320228,-0.0010821043692119667,-0.0005515469336607342,-0.0009671430942658316
2015-01-28,0.0005282015343551676,-0.006817659849084371,-0.0070175468805306505,-0.007116634831019514,-0.0067382700378773,-0.00631867472060413,-0.006713852257741769
2015-01-29,0.0012440447928323464,0.003573193204537666,0.0043325776180767345,0.004068056298500334,0.0038804713300077736,0.004096877694300719,0.003978210565269619
2015-01-30,0.00019309288328828297,-0.005857561782313036,-0.007496826988610093,-0.006503533528328585,-0.007424578508830704,-0.006917052522834108,-0.0072605962923374
2015-02-02,0.0019626103377139983,0.007154036995725694,0.006620233783129304,0.0068054607819891585,0.006651728843798765,0.0073533014755048365,0.006834818581165281
2015-02-03,-0.0004379213050345271,0.01133564910637442,0.009868923316618969,0.010337878273640133,0.009843592023096068,0.010347276075680211,0.010000103108864834
2015-02-04,0.0006335913713795715,-0.005214980119626757,-0.004080561900630092,-0.005073342975539123,-0.004050846810879198,-0.004423687899621913,-0.004111847297201977
2015-02-05,0.0002551732380466779,0.007295794863958687,0.00619288566509491,0.006507226954001086,0.006181087615334008,0.006544536653447224,0.006384082238224653
2015-02-06,-0.005319721785972696,-0.007383224819321699,-0.006426018689784836,-0.007639428764230962,-0.00641918185051462,-0.006969125714604431,-0.006354117495425536
2015-02-09,-0.0010306531117841393,-0.0014052460316864815,-0.0016667258847331283,-0.0012570420371953266,-0.0016820104480141413,-0.0019137506063221848,-0.001823721839682207
2015-02-10,0.0009172584877227677,0.00161619360193924,0.001805405991447163,0.0010973978505820123,0.0018759388392548177,0.0019644764452355114,0.0020937630695871986
2015-02-11,-0.0002877757429523482,-0.0018599282759290488,-0.0017097307131119066,-0.0018779503693557775,-0.001711670840177557,-0.0019413864358769548,-0.0017418359476604178
2015-02-12,0.0018535307354458274,0.010557652605893267,0.00880642421795975,0.010117009164054364,0.008793649597076219,0.009639532998349187,0.008927112695822555
2015-02-13,-0.00012852355602517443,0.003435501043205818,0.003109753638923397,0.0033922674993399423,0.003114658446785059,0.003623312623846202,0.003224898152520263
2015-02-17,-0.003066342653686387,-0.00017402109691426812,-0.00029951941696275695,-0.0003633679486839275,-0.00028437016055242513,-0.0003539176371631408,-0.0002435661564514864
2015-02-18,0.0024104692628147467,0.0006052284977251501,0.0011887626314479797,0.0009674919474007173,0.0011982946892727926,0.001612728689550054,0.0013034021245447573
